Date,Close,Open,High,Low,Volumn
2018-08-20,124500,127000,128000,124000,327.12K
2018-08-19,127000,127000,127000,127000,-
2018-08-17,127000,128500,129000,126500,325.94K
2018-08-16,127500,124500,128000,124000,474.46K
2018-08-15,127500,127500,127500,127500,-
2018-08-14,127500,125000,128500,123000,506.40K
2018-08-13,124000,126500,127500,122500,633.05K
2018-08-12,128000,128000,128000,128000,-
2018-08-10,128000,125500,129500,124000,1.26M
2018-08-09,125500,121000,126000,119500,1.61M
2018-08-08,119000,122000,124500,118000,1.21M
2018-08-07,120000,114000,120000,113000,712.33K
2018-08-06,113500,113500,114500,112500,189.38K
2018-08-05,113000,113000,113000,113000,-
2018-08-03,113000,111500,113000,111500,167.76K
2018-08-02,111000,112500,115000,111000,310.43K
2018-08-01,112500,112500,113500,111500,275.77K
2018-07-31,112500,115000,116000,111500,653.46K
2018-07-30,116500,118500,119000,116000,307.39K
2018-07-29,119500,119500,119500,119500,-
2018-07-27,119500,117500,120000,116500,565.33K
2018-07-26,117500,118000,118500,116000,260.39K
2018-07-25,118000,117500,118000,116000,307.67K
2018-07-24,117000,115500,118000,115000,501.87K
2018-07-23,115500,115000,117000,113500,345.78K
2018-07-20,115000,114000,115500,113000,184.52K
2018-07-19,114000,113000,115500,112500,266.36K
2018-07-18,113000,115000,116500,112000,348.13K
2018-07-17,114000,116000,116500,113500,370.96K
2018-07-16,116500,118000,118500,115500,235.14K
2018-07-15,118000,118000,118000,118000,-
2018-07-13,118000,118000,119000,116500,300.57K
2018-07-12,117500,117000,118000,115500,443.57K
2018-07-11,116500,116000,117000,115000,248.66K
2018-07-10,117000,117500,118000,116000,221.71K
2018-07-09,117500,114500,117500,114500,392.49K
2018-07-08,114500,114500,114500,114500,-
2018-07-06,114500,116500,117000,113000,382.11K
2018-07-05,116500,117000,118500,115500,346.66K
2018-07-04,117000,114500,118000,114000,843.94K
2018-07-03,114000,113500,115000,112500,313.57K
2018-07-02,111500,115500,116500,111500,414.28K
2018-06-29,114500,113000,115500,112000,578.74K
2018-06-28,111500,110000,112500,109000,220.77K
2018-06-27,111000,112500,113500,110000,309.34K
2018-06-26,112000,112500,113000,111000,249.29K
2018-06-25,114000,114000,114500,112000,344.82K
2018-06-24,114000,114000,114000,114000,-
2018-06-22,114000,106500,114500,106500,649.57K
2018-06-21,107000,107500,109000,106000,172.38K
2018-06-20,108000,106000,109000,106000,289.83K
2018-06-19,106500,107000,110500,105500,249.70K
2018-06-18,107500,109000,110000,106000,404.77K
2018-06-17,109500,109500,109500,109500,-
2018-06-15,109500,112000,112000,109000,335.21K
2018-06-14,112000,114000,114000,112000,248.11K
2018-06-13,114000,114000,114000,114000,-
2018-06-12,114000,114000,114500,113000,178.99K
2018-06-11,114000,113000,114500,112000,250.19K
2018-06-10,113000,113000,113000,113000,-
2018-06-08,113000,112000,113500,110500,392.46K
2018-06-07,111500,112000,113500,109000,354.21K
2018-06-06,111500,111500,111500,111500,-
2018-06-05,111500,108000,112000,107000,476.15K
2018-06-04,108000,104000,108500,104000,431.20K
2018-06-03,104500,104500,104500,104500,-
2018-06-01,104500,103500,107000,103500,377.36K
2018-05-31,103500,104500,106000,103000,466.28K
2018-05-30,104000,107000,107500,103500,596.97K
2018-05-29,108000,108000,110000,107500,316.01K
2018-05-28,108000,111000,111500,108000,676.75K
2018-05-27,112000,112000,112000,112000,-
2018-05-25,112000,112000,114000,111500,255.91K
2018-05-24,113000,112000,114000,112000,207.38K
2018-05-23,112500,113000,114500,112500,283.73K
2018-05-22,113500,113500,113500,113500,-
2018-05-21,113500,113500,114500,112500,173.63K
2018-05-20,113500,113500,113500,113500,-
2018-05-18,113500,118500,119000,112500,811.71K
2018-05-17,116500,117500,118500,116000,333.43K
2018-05-16,117000,114500,117000,113500,464.74K
2018-05-15,114500,112000,115000,112000,318.08K
2018-05-14,113000,114500,116000,111000,655.03K
2018-05-13,117000,117000,117000,117000,-
2018-05-11,117000,117500,118000,116000,346.05K
2018-05-10,117000,113000,118000,111000,837.02K
2018-05-09,113000,111000,113000,110500,329.70K
2018-05-08,112000,112000,113000,110000,328.26K
2018-05-07,112000,112000,112000,112000,-
2018-05-04,112000,113000,113500,111500,249.45K
2018-05-03,113500,114500,116500,113000,349.95K
2018-05-02,114500,110500,114500,109500,525.16K
2018-05-01,111000,111000,111000,111000,-
2018-04-30,111000,113500,114000,110000,616.92K
2018-04-29,113500,113500,113500,113500,-
2018-04-27,113500,115000,115500,112000,378.35K
2018-04-26,114000,116500,117500,113500,364.89K
2018-04-25,115500,115500,119000,113500,576.02K
2018-04-24,115000,112000,115500,111000,471.01K
2018-04-23,111000,114500,114500,111000,667.27K
2018-04-22,115000,115000,115000,115000,-
2018-04-20,115000,116500,117500,113500,647.34K
2018-04-19,116500,119000,119000,116000,647.84K
2018-04-18,119500,120000,121500,118500,494.06K
2018-04-17,118000,117500,120000,117500,397.54K
2018-04-16,117000,120500,120500,116500,811.03K
2018-04-15,120500,120500,120500,120500,-
2018-04-13,120500,120500,122000,119500,367.34K
2018-04-12,120000,122000,122500,120000,364.73K
2018-04-11,121500,124000,125000,121000,375.45K
2018-04-10,122500,121500,123500,121500,321.44K
2018-04-09,121500,121500,122500,120000,545.32K
2018-04-08,122500,122500,122500,122500,-
2018-04-06,122500,125000,125500,122000,358.93K
2018-04-05,124500,125000,126000,124000,298.35K
2018-04-04,123500,129000,129000,123500,720.70K
2018-04-03,128500,127000,130500,126500,481.80K
2018-04-02,129000,132500,133500,128500,453.03K
2018-04-01,132000,132000,132000,132000,-
2018-03-30,132000,131500,133500,130000,445.35K
2018-03-29,129500,129500,131000,126500,436.23K
2018-03-28,129000,129000,130500,128000,461.38K
2018-03-27,131500,134500,134500,131000,397.72K
2018-03-26,131000,129500,132500,126500,835.47K
2018-03-25,130500,130500,130500,130500,-
2018-03-23,130500,135000,136000,129500,1.18M
2018-03-22,138000,137000,139000,135500,566.55K
2018-03-21,138000,139000,140000,137500,412.81K
2018-03-20,139000,135500,140000,135000,552.97K
2018-03-19,137500,140000,140500,136000,605.72K
2018-03-18,141000,141000,141000,141000,-
2018-03-16,141000,141500,143000,139000,1.02M
2018-03-15,141500,137500,141500,137000,947.57K
2018-03-14,137000,139500,140000,136000,700.39K
2018-03-13,140500,135500,141000,135000,1.31M
2018-03-12,135000,136000,136500,134500,383.29K
2018-03-11,134000,134000,134000,134000,-
2018-03-09,134000,133000,135500,131000,751.40K
2018-03-08,132000,129500,132000,128500,497.46K
2018-03-07,129500,133000,133500,129000,595.16K
2018-03-06,132500,126000,134000,126000,1.16M
2018-03-05,123000,127500,128000,123000,413.78K
2018-03-04,127500,127500,127500,127500,-
2018-03-02,127500,126500,128500,124500,472.04K
2018-03-01,128000,128000,128000,128000,-
2018-02-28,128000,130000,132500,127000,773.59K
2018-02-27,131000,124000,131000,124000,1.27M
2018-02-26,123000,124500,124500,122500,302.53K
2018-02-25,123500,123500,123500,123500,-
